Date,Canton,Value
2020-03-04,Luzern,1.22
2020-03-04,Jura,1.36
2020-03-04,Schaffhausen,0.00
2020-03-04,Neuchâtel,4.52
2020-03-04,Valais/Wallis,1.45
2020-03-04,Genève,3.00
2020-03-05,Ticino,7.08
2020-03-05,Liechtenstein,2.58
2020-03-05,Zug,1.58
2020-03-05,Genève,4.00
2020-03-05,Luzern,1.46
2020-03-05,Solothurn,0.00
2020-03-05,Thurgau,0.36
2020-03-05,Jura,2.72
2020-03-05,St. Gallen,0.20
2020-03-05,Appenzell Ausserrhoden,1.81
2020-03-05,Valais/Wallis,1.74
2020-03-05,Aargau,1.60
2020-03-05,Vaud,0.00
2020-03-05,Schwyz,1.88
2020-03-05,Appenzell Innerrhoden,0.00
2020-03-05,Nidwalden,0.00
2020-03-05,Uri,0.00
2020-03-05,Schaffhausen,0.00
2020-03-05,Neuchâtel,5.09
2020-03-05,Obwalden,0.00
2020-03-05,Glarus,0.00
2020-03-05,Basel Stadt,4.11
2020-03-05,Bern,0.58
2020-03-05,Zürich,1.51
2020-03-05,Fribourg/Freiburg,1.88
2020-03-05,Basel Land,2.08
2020-03-05,Graubünden/Grison,7.06
2020-03-06,Graubünden/Grison,8.07
2020-03-06,Obwalden,0.00
2020-03-06,Liechtenstein,2.58
2020-03-06,Neuchâtel,7.35
2020-03-06,Zug,2.37
2020-03-06,Fribourg/Freiburg,2.20
2020-03-06,Valais/Wallis,1.74
2020-03-06,St. Gallen,0.79
2020-03-06,Basel Stadt,7.70
2020-03-06,Schaffhausen,0.00
2020-03-06,Bern,1.64
2020-03-06,Ticino,7.92
2020-03-06,Uri,0.00
2020-03-06,Basel Land,2.08
2020-03-06,Solothurn,0.37
2020-03-06,Genève,5.81
2020-03-06,Vaud,2.88
2020-03-06,Appenzell Innerrhoden,0.00
2020-03-06,Schwyz,3.77
2020-03-06,Zürich,1.91
2020-03-06,Thurgau,0.36
2020-03-06,Appenzell Ausserrhoden,1.81
2020-03-06,Aargau,1.75
2020-03-06,Jura,4.09
2020-03-06,Glarus,0.00
2020-03-06,Nidwalden,0.00
2020-03-06,Luzern,1.71
2020-03-07,Schaffhausen,0.00
2020-03-07,Appenzell Ausserrhoden,1.81
2020-03-07,Graubünden/Grison,8.57
2020-03-07,Solothurn,0.37
2020-03-07,Jura,5.45
2020-03-07,Appenzell Innerrhoden,0.00
2020-03-07,Ticino,11.60
2020-03-07,St. Gallen,0.79
2020-03-07,Bern,1.64
2020-03-07,Basel Land,5.21
2020-03-07,Luzern,1.95
2020-03-07,Zürich,2.24
2020-03-07,Liechtenstein,2.58
2020-03-07,Genève,8.41
2020-03-07,Obwalden,0.00
2020-03-07,Uri,0.00
2020-03-07,Schwyz,3.77
2020-03-07,Nidwalden,0.00
2020-03-07,Aargau,2.04
2020-03-07,Vaud,3.75
2020-03-07,Valais/Wallis,2.04
2020-03-07,Thurgau,0.36
2020-03-07,Basel Stadt,10.78
2020-03-07,Zug,2.37
2020-03-07,Neuchâtel,10.18
2020-03-07,Glarus,0.00
2020-03-07,Fribourg/Freiburg,2.20
2020-03-08,Fribourg/Freiburg,2.20
2020-03-08,Valais/Wallis,4.07
2020-03-08,Graubünden/Grison,9.07
2020-03-08,Obwalden,0.00
2020-03-08,Vaud,5.01
2020-03-08,Aargau,2.04
2020-03-08,Basel Land,6.94
2020-03-08,Solothurn,0.37
2020-03-08,Ticino,13.87
2020-03-08,Appenzell Ausserrhoden,1.81
2020-03-08,Luzern,1.95
2020-03-08,Schaffhausen,0.00
2020-03-08,Nidwalden,0.00
